first_day_exposition,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,balcony,locality_name,price_per_sqm
2021-09-14,7875000,142.0,3,2.77,5,95.7,4,False,14.3,1,Kyiv,55457.74647887324
2021-09-19,2334375,30.8,1,2.6,17,15.4,3,False,8.7,0,Kyiv,75791.3961038961
2021-09-21,6533775,81.8,3,3.1,16,43.83,3,False,14.58,0,Kyiv,79875.0
2021-09-23,8718750,121.0,3,2.7,23,55.5,22,False,29.3,5,Kyiv,72055.78512396694
2021-09-30,2643750,50.3,2,2.7,23,26.5,23,False,8.5,0,Kyiv,52559.6421471173
2021-10-03,4500000,60.65,2,3.2,6,39.07,2,False,4.5,0,Kyiv,74196.2077493817
2021-10-07,20223846,188.4,5,3.0,8,91.77,8,False,15.42,0,Kyiv,107345.25477707006
2021-10-10,2914875,61.0,2,2.65,23,32.0,6,False,12.0,0,Kyiv,47784.83606557377
2021-10-11,2190938,34.2,1,2.65,25,17.48,25,False,7.87,2,Kyiv,64062.51461988303
2021-10-11,1856250,71.7,3,2.65,9,43.1,4,False,9.0,0,Irpin,25889.121338912133
2021-10-12,2089744,38.3,1,2.6,15,15.65,2,False,12.37,0,Vyshneve,54562.50652741515
2021-10-13,3346875,64.9,3,2.5,9,45.3,8,False,6.3,0,Kyiv,51569.72265023112
2021-10-16,1963125,43.0,2,2.5,5,28.0,2,False,5.0,1,Brovary,45654.06976744186
2021-10-20,2728125,93.0,3,2.65,6,51.0,5,False,15.3,0,Vyshneve,29334.67741935484
2021-10-26,7093125,85.5,3,2.65,19,52.2,10,False,12.5,0,Kyiv,82960.52631578948
2021-11-01,8510400,118.2,3,3.1,16,64.32,4,False,14.27,0,Kyiv,72000.0
2021-11-02,3369375,43.5,1,3.0,5,25.0,4,False,9.4,0,Kyiv,77456.89655172414
2021-11-11,1096875,50.0,3,2.5,5,34.0,5,False,6.5,0,Irpin,21937.5
2021-11-13,4218750,68.1,3,2.65,5,41.7,5,False,14.4,0,Kyiv,61949.33920704846
2021-11-14,6131250,90.02,3,2.65,19,56.9,8,False,17.4,2,Kyiv,68109.86447456121
2021-11-16,6525000,80.3,2,3.0,5,41.1,1,False,13.6,0,Kyiv,81257.78331257784
2021-11-17,7731000,95.8,3,2.65,13,51.88,5,False,16.32,4,Kyiv,80699.37369519833
2021-11-19,3037500,81.7,3,2.65,23,45.6,14,False,15.4,0,Kyiv,37178.70257037944
2021-11-19,18000000,235.0,5,3.75,5,160.0,3,False,23.0,4,Kyiv,76595.74468085106
2021-11-21,1884375,37.0,1,2.55,6,17.8,6,False,8.4,0,Boyarka,50929.05405405405
2021-11-26,6503836,95.4,3,2.7,10,49.9,3,False,17.5,0,Kyiv,68174.38155136268
2021-11-29,2981250,78.0,3,2.6,8,50.0,8,False,11.0,0,Bucha,38221.15384615384
2021-12-09,2362500,46.1,2,2.65,5,28.3,4,False,7.0,0,Kyiv,51247.2885032538
2021-12-12,2716875,51.0,2,2.7,16,28.0,4,False,10.0,0,Kyiv,53272.05882352941
2021-12-24,2941875,61.8,3,2.6,9,39.4,2,False,9.4,0,Kyiv,47603.155339805824
2021-12-25,5006250,126.0,5,2.96,5,91.0,4,False,10.3,0,Kyiv,39732.142857142855
2021-12-25,4227279,58.8,2,2.65,10,30.4,3,False,11.1,0,Kyiv,71892.5
2022-01-01,8156250,259.6,5,2.81,17,148.6,16,False,15.4,0,Kyiv,31418.52850539291
2022-01-02,1771875,59.1,2,2.65,5,29.9,1,False,8.3,0,Irpin,29980.96446700508
2022-01-04,1563750,42.6,2,2.5,4,28.7,3,False,6.0,1,Boryspil,36707.74647887324
2022-01-05,6181875,67.5,2,2.65,13,36.4,13,False,10.4,2,Kyiv,91583.33333333331
2022-01-07,3121875,51.6,2,2.7,16,30.1,1,False,8.7,0,Kyiv,60501.45348837209
2022-01-07,7875000,173.0,5,3.4,6,123.0,4,False,23.0,0,Kyiv,45520.23121387283
2022-01-08,5006250,105.0,2,3.6,6,30.0,6,False,36.0,2,Kyiv,47678.57142857143
2022-01-10,4556250,73.0,2,3.4,6,45.0,3,False,14.0,0,Kyiv,62414.38356164384
2022-01-15,1856250,60.0,2,2.7,5,33.0,5,False,9.0,2,Brovary,30937.5
2022-01-16,2193750,35.6,1,2.5,10,19.0,1,False,6.3,0,Kyiv,61622.19101123596
2022-01-19,12067315,156.4,4,2.65,13,88.86363636363637,13,False,9.1,0,Kyiv,77156.74552429667
2022-01-19,18294750,129.1,3,2.8,8,64.2,3,False,24.5,0,Kyiv,141709.91479473276
2022-01-20,7227680,113.5,4,2.7,11,72.1,2,False,12.0,0,Kyiv,63680.0
2022-01-21,14062500,115.0,4,3.8,5,87.0,3,False,9.0,0,Kyiv,122282.60869565218
2022-01-23,3037500,60.0,3,2.5,9,42.0,4,False,6.0,0,Kyiv,50625.0
2022-01-24,4725000,98.0,3,2.85,6,57.0,2,False,14.0,0,Kyiv,48214.28571428572
2022-01-27,5906250,133.0,5,3.5,6,75.56818181818183,5,False,14.0,0,Kyiv,44407.89473684211
2022-01-31,13500000,86.3,3,3.5,6,53.9,4,False,10.1,0,Kyiv,156431.05446118192
2022-01-31,2306250,88.0,4,2.65,5,60.7,4,False,8.2,0,Brovary,26207.386363636364
2022-02-01,6438375,90.9,3,2.7,19,56.9,3,False,10.7,2,Kyiv,70829.20792079208
2022-02-02,3161261,82.3,3,2.7,21,45.6,12,False,15.7,0,Kyiv,38411.43377885784
2022-02-03,3993750,54.0,2,2.6,14,30.0,12,False,15.0,0,Kyiv,73958.33333333333
2022-02-03,2362500,35.4,1,2.65,23,15.4,18,False,9.2,0,Kyiv,66737.28813559322
2022-02-06,1951875,37.0,1,2.6,6,17.7,5,False,7.5,0,Bucha,52753.37837837838
2022-02-08,2362500,51.4,2,2.55,5,31.0,2,False,6.0,1,Bucha,45963.03501945525
2022-02-08,3178125,57.3,3,2.5,9,38.5,4,False,8.2,1,Kyiv,55464.65968586388
2022-02-15,2756250,80.0,3,2.65,15,47.0,14,False,9.0,2,Bucha,34453.125
2022-02-19,4443750,134.0,4,2.65,3,76.13636363636364,2,False,9.1,0,Boyarka,33162.31343283582
2022-02-20,8437500,111.5,3,3.1,5,53.4,2,False,35.5,0,Kyiv,75672.64573991031
2022-02-21,2843438,33.0,1,2.65,13,15.0,9,False,11.0,0,Kyiv,86164.78787878787
2022-02-21,2390625,51.0,2,2.6,9,30.5,9,False,7.0,0,Kyiv,46875.0
2022-02-21,4162500,61.1,2,3.05,16,34.2,11,False,10.8,2,Kyiv,68126.02291325695
2022-02-23,13494375,153.0,4,2.8,25,75.0,12,False,46.0,0,Kyiv,88198.5294117647
2022-02-24,2469375,46.0,2,2.5,10,26.0,6,False,10.0,0,Kyiv,53682.0652173913
2022-02-25,5991316,88.7,3,2.65,12,49.8,2,False,12.0,0,Kyiv,67545.83990980835
2022-02-25,1800000,31.2,1,2.6,9,16.0,2,False,8.0,0,Kyiv,57692.307692307695
2022-02-27,9099660,122.7,3,3.0,19,45.9,4,False,10.2,0,Kyiv,74161.85819070904
2022-02-28,6300000,131.5,4,3.11,5,88.2,2,False,10.4,0,Kyiv,47908.74524714829
2022-03-03,3278076,89.2,3,2.7,21,46.7,8,False,17.1,0,Kyiv,36749.73094170404
2022-03-03,10119375,143.7,4,3.2,6,52.0,2,False,46.0,0,Kyiv,70420.14613778706
2022-03-06,3909375,75.0,2,2.87,4,47.0,3,False,7.0,0,Kyiv,52125.0
2022-03-08,2193750,35.46,1,2.65,21,14.4,20,False,9.3,0,Kyiv,61865.48223350254
2022-03-08,2756250,59.0,3,2.65,5,43.0,1,False,6.0,0,Kyiv,46716.10169491525
2022-03-10,5692500,87.0,3,2.65,25,49.43181818181819,2,False,9.1,0,Kyiv,65431.03448275862
2022-03-10,2362500,60.1,3,3.0,4,36.7,1,False,7.2,0,Irpin,39309.484193011645
2022-03-11,2362500,37.2,1,2.65,11,20.5,2,False,9.0,1,Kyiv,63508.06451612903
2022-03-13,1603125,42.5,1,2.6,10,17.0,10,False,10.0,2,Vyshneve,37720.58823529412
2022-03-13,3796875,79.0,3,3.2,3,52.0,2,False,10.0,0,Kyiv,48061.70886075949
2022-03-14,1433812,32.0,1,2.5,9,17.8,6,False,6.3,0,Vyshneve,44806.625
2022-03-14,3093750,60.0,2,2.75,4,33.0,4,False,10.0,0,Bucha,51562.5
2022-03-17,7762500,114.0,4,2.7,10,77.0,7,False,10.0,2,Kyiv,68092.1052631579
2022-03-19,3521250,43.3,1,2.65,8,24.602272727272727,5,False,9.1,0,Kyiv,81322.17090069284
2022-03-19,5635688,74.9,2,2.65,10,41.7,2,False,14.2,0,Kyiv,75242.83044058745
2022-03-20,1068750,52.1,2,2.5,5,29.0,1,False,9.0,1,Hostomel,20513.43570057581
2022-03-21,2925000,51.0,2,2.55,9,32.0,5,False,6.0,0,Kyiv,57352.94117647059
2022-03-21,2306250,46.0,2,2.5,5,29.7,2,False,6.5,0,Kyiv,50135.86956521739
2022-03-24,4962375,65.2,2,2.65,11,29.9,8,False,17.3,0,Kyiv,76110.04601226993
2022-03-24,5056875,115.0,5,3.45,6,80.0,6,False,15.0,0,Kyiv,43972.82608695652
2022-03-25,1996875,34.0,1,2.55,9,18.9,7,False,6.0,1,Kyiv,58731.617647058825
2022-03-25,3369375,61.0,2,2.65,18,31.0,2,False,12.0,1,Irpin,55235.65573770492
2022-03-26,7031250,82.5,2,3.3,6,44.0,1,False,10.4,0,Kyiv,85227.27272727272
2022-03-27,3993750,93.4,4,2.5,9,63.9,1,False,8.6,0,Kyiv,42759.63597430407
2022-03-28,3125404,88.7,3,2.75,24,47.1,9,False,16.9,0,Kyiv,35235.67080045096
2022-04-02,5175000,82.93,2,2.65,12,41.92,6,False,16.74,2,Kyiv,62402.02580489569
2022-04-02,3201418,89.1,3,2.7,23,47.0,19,False,16.5,0,Kyiv,35930.61728395062
2022-04-03,1518750,60.4,3,2.7,5,44.0,1,False,5.0,0,Borshchahivka,25144.86754966888
2022-04-07,2953125,36.3,1,2.8,7,15.0,2,False,12.0,0,Kyiv,81353.30578512397
2022-04-08,1856250,29.8,1,2.5,9,16.12,6,False,7.0,0,Kyiv,62290.26845637584
2022-04-10,12375000,174.0,4,2.8,4,80.9,2,False,17.6,0,Brovary,71120.68965517242
2022-04-12,2817562,60.42,2,2.7,5,34.4,4,False,9.95,2,Boyarka,46632.936113869575
2022-04-12,6467625,76.0,2,3.4,5,30.0,5,False,32.0,0,Kyiv,85100.32894736843
2022-04-13,1800000,33.0,1,2.65,24,13.05,3,False,9.75,0,Boryspil,54545.454545454544
2022-04-16,5215930,67.3,2,2.7,9,32.0,2,False,11.6,0,Kyiv,77502.67459138187
2022-04-18,1344375,31.0,1,2.5,5,20.0,1,False,6.0,0,Boyarka,43366.93548387097
2022-04-20,2981250,68.0,2,2.75,22,38.63636363636364,9,False,14.0,2,Irpin,43841.91176470588
2022-04-20,2868750,35.29,1,2.65,13,14.02,13,False,7.85,0,Kyiv,81290.73391895721
2022-04-24,5034375,126.0,3,2.65,15,71.5909090909091,14,False,11.2,2,Kyiv,39955.357142857145
2022-04-26,14062500,201.0,5,3.5,6,131.0,4,False,35.0,0,Kyiv,69962.68656716419
2022-04-27,3234375,67.0,3,2.7,17,38.4,5,False,7.4,0,Kyiv,48274.25373134328
2022-04-29,2418750,53.0,2,2.65,5,31.0,1,False,10.0,0,Irpin,45636.79245283019
2022-05-01,2919375,61.7,3,2.5,9,43.4,7,False,6.3,0,Kyiv,47315.64019448946
2022-05-02,5056875,96.4,3,3.54,4,59.5,2,False,12.0,0,Kyiv,52457.20954356846
2022-05-03,14906250,141.6,3,2.8,18,95.9,8,False,37.7,0,Kyiv,105270.12711864409
2022-05-04,4612500,84.0,3,3.0,7,47.0,7,False,16.0,0,Kyiv,54910.71428571428
2022-05-06,14827500,95.0,3,2.65,9,59.8,8,False,12.2,1,Kyiv,156078.94736842104
2022-05-07,3768750,54.0,1,2.85,12,20.0,5,False,18.0,1,Kyiv,69791.66666666667
2022-05-08,675000,59.0,3,2.5,5,44.0,2,False,5.0,1,Boyarka,11440.677966101695
2022-05-09,6637500,81.3,3,2.65,13,49.0,3,False,12.0,2,Kyiv,81642.06642066421
2022-05-10,7031250,100.0,4,2.5,9,65.9,2,False,11.3,1,Kyiv,70312.5
2022-05-10,2981250,48.03,1,2.65,10,20.03,1,False,9.1,0,Kyiv,62070.58088694566
2022-05-12,3290625,53.0,2,2.75,25,30.5,21,False,9.0,1,Kyiv,62087.2641509434
2022-05-13,1040625,73.0,3,2.55,5,42.7,3,False,8.3,0,Irpin,14255.13698630137
2022-05-14,3279379,88.9,3,2.7,21,49.9,10,False,14.7,0,Kyiv,36888.40269966254
2022-05-14,3147412,88.8,3,2.7,23,47.1,12,False,16.8,0,Kyiv,35443.82882882883
2022-05-18,3487500,64.4,3,2.65,9,43.1,9,False,8.6,0,Kyiv,54153.72670807453
2022-05-18,12899477,94.8,2,3.0,9,53.3,3,False,17.2,1,Kyiv,136070.4324894515
2022-05-18,5596875,71.0,2,3.0,8,35.6,1,False,16.1,0,Kyiv,78829.22535211267
2022-05-18,1125000,35.0,1,2.65,5,18.0,1,False,9.0,0,Borshchahivka,32142.85714285714
2022-05-19,7336742,107.9,4,2.75,11,67.6,6,False,10.9,2,Kyiv,67995.75532900833
2022-05-19,73125000,307.8,5,2.65,4,187.9,3,False,63.4,0,Kyiv,237573.09941520463
2022-05-20,3318750,87.0,4,2.6,10,54.4,1,False,11.5,0,Kyiv,38146.55172413793
2022-05-20,3331879,93.3,3,2.75,24,47.4,18,False,16.3,0,Kyiv,35711.457663451234
2022-05-21,1518750,31.0,1,2.5,9,15.5,2,False,8.1,0,Kyiv,48991.93548387097
2022-05-21,3768750,72.0,3,3.17,5,43.0,2,False,9.0,0,Kyiv,52343.75
2022-05-22,2469375,45.0,2,2.65,5,30.0,2,False,7.2,0,Kyiv,54875.0
2022-05-23,7256250,56.0,1,3.0,5,28.0,2,False,9.0,0,Kyiv,129575.89285714286
2022-05-24,7593750,136.0,3,2.65,4,77.27272727272728,2,False,9.1,0,Kyiv,55836.39705882353
2022-05-25,2025000,43.5,2,2.5,5,27.0,1,False,6.0,0,Kyiv,46551.72413793104
2022-05-25,2812500,42.0,1,2.8,16,20.0,15,False,10.0,2,Kyiv,66964.28571428571
2022-05-28,3037500,63.0,3,2.65,5,43.0,1,False,9.0,0,Irpin,48214.28571428572
2022-05-28,1462500,35.3,1,2.5,9,18.4,7,False,8.4,0,Boyarka,41430.594900849865
2022-05-28,3758062,66.81,1,2.65,23,27.57,22,False,27.57,0,Kyiv,56249.9925160904
2022-05-29,8718750,211.0,4,2.65,5,97.6,4,False,29.1,0,Irpin,41321.090047393365
2022-05-31,3864375,43.0,1,3.0,10,24.431818181818183,3,False,14.0,1,Kyiv,89869.18604651163
2022-06-01,3346875,56.6,3,2.65,9,38.8,7,False,8.2,1,Kyiv,59132.06713780919
2022-06-02,11587500,132.0,4,2.65,10,54.0,10,False,31.0,0,Kyiv,87784.09090909091
2022-06-03,2086875,35.46,1,2.65,21,14.4,20,False,9.3,2,Kyiv,58851.52284263959
2022-06-03,3065625,54.0,2,2.65,22,29.0,11,False,10.0,0,Kyiv,56770.833333333336
2022-06-04,47250000,507.0,5,4.45,7,301.5,7,False,45.5,1,Kyiv,93195.26627218934
2022-06-04,1968806,34.14,1,2.65,22,14.69,12,False,8.03,0,Boryspil,57668.59988283538
2022-06-04,1940625,34.3,1,2.65,12,20.6,3,False,6.6,0,Kyiv,56577.98833819242
2022-06-04,8156250,97.4,2,3.0,8,36.3,2,False,31.7,0,Kyiv,83739.73305954825
2022-06-05,1828125,42.0,3,2.55,5,30.0,3,False,5.5,0,Kyiv,43526.78571428572
2022-06-05,3093750,44.1,1,2.65,10,16.6,1,False,14.9,0,Kyiv,70153.0612244898
2022-06-06,8177822,80.55,2,2.8,12,35.0,10,False,16.45,2,Kyiv,101524.79205462446
2022-06-07,8381250,60.0,2,3.84,5,31.0,2,False,15.0,0,Kyiv,139687.5
2022-06-07,2244375,45.0,2,2.5,5,26.0,5,False,6.0,0,Kyiv,49875.0
2022-06-07,4471875,63.5,2,2.75,10,37.0,3,False,9.1,2,Kyiv,70423.22834645669
2022-06-08,1912500,32.6,1,2.81,17,17.5,15,False,7.1,0,Kyiv,58665.64417177914
2022-06-10,2925000,63.0,2,2.65,17,33.0,2,False,14.0,0,Kyiv,46428.57142857143
2022-06-11,3031875,54.0,2,2.5,17,29.0,14,False,8.5,2,Kyiv,56145.833333333336
2022-06-12,2784375,53.0,2,2.65,17,27.0,4,False,9.0,0,Kyiv,52535.377358490565
2022-06-13,3369375,64.4,2,3.12,4,36.2,1,False,14.6,0,Kyiv,52319.48757763975
2022-06-13,1096875,62.0,3,2.65,5,35.227272727272734,5,False,9.1,0,Borshchahivka,17691.532258064515
2022-06-15,2868750,57.0,3,2.5,5,41.6,4,False,5.1,1,Kyiv,50328.94736842105
2022-06-15,24468750,245.8,3,4.45,7,170.8,7,False,25.0,1,Kyiv,99547.3962571196
2022-06-16,2559375,55.0,2,2.57,9,31.5,7,False,8.0,0,Kyiv,46534.09090909091
2022-06-17,24187500,280.0,5,4.4,5,159.0909090909091,4,False,9.1,0,Kyiv,86383.92857142857
2022-06-17,1569375,28.0,1,2.5,5,16.0,2,False,5.5,0,Irpin,56049.107142857145
2022-06-17,3262500,63.0,2,2.65,21,29.5,3,False,15.0,1,Kyiv,51785.71428571428
2022-06-18,3600000,41.4,1,2.65,13,17.6,11,False,11.5,1,Kyiv,86956.52173913043
2022-06-21,6234311,66.8,2,2.65,8,32.8,5,False,18.0,0,Kyiv,93328.00898203591
2022-06-21,2671875,59.6,2,2.5,6,33.8,1,False,10.7,1,Boryspil,44830.11744966443
2022-06-22,5625000,96.0,5,3.0,4,55.0,4,False,9.9,0,Kyiv,58593.75
2022-06-23,4213125,80.0,3,2.65,10,50.0,9,False,11.0,1,Kyiv,52664.0625
2022-06-24,2078438,35.0,1,2.6,12,19.88636363636364,2,False,9.1,0,Kyiv,59383.94285714286
2022-06-25,2671875,55.0,2,2.65,16,32.0,1,False,10.5,0,Kyiv,48579.545454545456
2022-06-27,2311875,64.0,2,2.72,9,40.0,7,False,10.0,0,Bucha,36123.046875
2022-06-27,3768750,87.0,4,3.0,6,54.4,5,False,9.1,0,Kyiv,43318.96551724138
2022-06-28,1665242,35.4,1,2.7,25,16.1,25,False,10.7,0,Irpin,47040.73446327684
2022-06-28,1820990,34.6,1,2.7,25,16.0,24,False,10.1,0,Bucha,52629.76878612716
2022-06-28,1743750,32.0,1,2.5,5,18.0,4,False,5.5,1,Irpin,54492.1875
2022-06-30,5709375,114.0,4,2.65,5,90.2,4,False,16.0,0,Kyiv,50082.23684210526
2022-07-02,2081250,63.0,3,2.5,12,46.0,5,False,6.5,0,Boyarka,33035.71428571428
2022-07-03,1912500,42.0,3,2.5,5,30.1,3,False,5.4,0,Kyiv,45535.71428571428
2022-07-04,4217400,62.5,2,2.65,5,35.5,5,False,9.5,0,Vyshneve,67478.4
2022-07-04,3261938,110.2,4,2.65,7,67.0,1,False,10.9,0,Kyiv,29600.16333938294
2022-07-04,5539236,69.3,2,2.73,20,33.63,10,False,15.3,0,Kyiv,79931.25541125542
2022-07-04,8437500,170.0,5,3.5,7,106.2,2,False,17.3,0,Kyiv,49632.35294117647
2022-07-05,2022188,55.09,1,2.65,18,31.301136363636367,1,False,18.93,0,Irpin,36706.988564167725
2022-07-05,1968750,43.7,2,2.65,5,27.8,3,False,5.3,0,Bucha,45051.48741418764
2022-07-06,2457713,64.5,2,2.7,23,31.6,8,False,12.1,0,Kyiv,38104.07751937985
2022-07-06,2682402,67.8,2,2.7,23,31.2,11,False,14.6,0,Kyiv,39563.45132743363
2022-07-06,7875000,137.0,5,3.0,7,90.0,4,False,23.0,1,Kyiv,57481.75182481752
2022-07-07,5916167,95.5,3,2.7,9,50.1,6,False,17.4,0,Kyiv,61949.39267015707
2022-07-09,1856250,43.5,2,2.55,4,27.2,2,False,5.0,1,Bucha,42672.41379310345
2022-07-09,4096848,47.7,1,2.7,19,27.10227272727273,2,False,13.2,2,Kyiv,85887.79874213836
2022-07-09,4050000,85.0,4,3.15,5,50.9,1,False,8.9,0,Kyiv,47647.05882352941
2022-07-13,32062500,174.0,3,3.2,10,95.0,6,False,77.0,0,Kyiv,184267.24137931035
2022-07-13,3656250,67.0,3,2.65,12,42.2,10,False,11.1,0,Kyiv,54570.89552238806
2022-07-15,2784375,75.0,3,2.65,9,45.0,1,False,10.0,0,Kyiv,37125.0
2022-07-20,2728125,69.0,3,2.65,16,43.4,1,False,8.2,0,Kyiv,39538.04347826087
2022-07-22,26113540,92.4,2,2.65,6,54.8,6,False,20.0,1,Kyiv,282614.06926406926
2022-07-22,1771875,31.0,1,2.65,5,17.0,2,False,5.5,1,Kyiv,57157.25806451613
2022-07-24,7762500,75.0,2,3.0,11,42.61363636363637,11,False,18.0,4,Kyiv,103500.0
2022-07-30,3150000,56.14,2,2.75,14,31.89772727272728,11,False,14.0,2,Bucha,56109.72568578554
2022-07-31,674438,41.0,2,2.5,4,26.0,4,False,6.0,0,Boryspil,16449.70731707317
2022-08-03,4473063,68.6,2,2.7,10,35.8,4,False,10.7,0,Kyiv,65205.00000000001
2022-08-03,2700000,41.88,1,2.8,19,18.84,5,False,10.44,2,Kyiv,64469.91404011461
2022-08-04,4083750,84.5,3,2.65,5,49.4,3,False,7.9,0,Kyiv,48328.40236686391
2022-08-05,3825000,83.0,4,2.65,5,64.0,1,False,7.0,0,Kyiv,46084.33734939759
2022-08-06,2671875,33.6,1,2.75,15,16.9,10,False,8.4,0,Kyiv,79520.08928571428
2022-08-07,9506250,122.0,3,2.65,7,75.5,3,False,14.0,0,Kyiv,77920.08196721312
2022-08-08,9864562,92.3,2,3.0,8,37.5,2,False,37.9,1,Kyiv,106874.9945828819
2022-08-08,2362500,62.2,2,2.65,9,41.0,6,False,8.0,0,Brovary,37982.31511254019
2022-08-09,1603125,40.0,1,2.6,10,19.0,8,False,9.0,2,Irpin,40078.125
2022-08-09,6018750,82.1,2,2.75,12,35.0,3,False,21.1,2,Kyiv,73309.98781973204
2022-08-10,1957500,45.1,2,2.6,9,27.3,8,False,6.2,0,Boryspil,43403.54767184035
2022-08-13,2025000,38.1,1,3.0,3,20.6,1,False,5.6,0,Bucha,53149.6062992126
2022-08-13,1856250,32.0,1,2.7,27,14.8,21,False,9.0,2,Boryspil,58007.8125
2022-08-14,843750,43.7,2,2.55,3,28.0,2,False,7.3,1,Irpin,19307.78032036613
2022-08-15,3313125,58.0,2,2.65,20,29.0,13,False,12.0,2,Kyiv,57122.84482758621
2022-08-16,2587500,73.0,3,3.0,7,41.477272727272734,2,False,12.0,0,Borshchahivka,35445.20547945205
2022-08-16,1968188,45.2,2,2.57,9,27.8,2,False,8.2,0,Brovary,43543.98230088496
2022-08-17,2728125,79.0,3,2.65,15,46.8,13,False,9.0,2,Bucha,34533.22784810127
2022-08-17,3037500,82.0,3,2.65,21,45.6,11,False,15.4,0,Kyiv,37042.68292682927
2022-08-17,2883994,64.9,2,2.65,24,31.8,1,False,11.1,0,Kyiv,44437.50385208012
2022-08-19,1378125,44.0,1,2.65,5,25.000000000000004,5,False,12.0,0,Irpin,31321.022727272728
2022-08-19,2587500,44.0,1,2.65,22,20.0,19,False,10.0,1,Kyiv,58806.81818181818
2022-08-20,4185000,58.0,1,2.7,10,23.0,4,False,17.0,0,Kyiv,72155.1724137931
2022-08-20,36640224,169.3,4,3.0,8,95.41,4,False,22.46,2,Kyiv,216421.8783225044
2022-08-20,1518750,34.0,1,2.65,9,19.2,1,False,7.0,0,Bucha,44669.117647058825
2022-08-20,1968750,73.0,4,2.65,5,48.0,1,False,9.0,0,Borshchahivka,26969.178082191786
